lat_lon,Decade,Deaths,Latitude,Longitude,Units
40.71536817-74.0061944,1890s,2,40.71536817,-74.0061944,ENGINE 7
40.71536817-74.0061944,1910s,1,40.71536817,-74.0061944,ENGINE 7
40.71536817-74.0061944,1950s,1,40.71536817,-74.0061944,ENGINE 7
40.71540275-73.99283007,1870s,2,40.71540275,-73.99283007,"ENGINE 9, LADDER 6"
40.71540275-73.99283007,1920s,1,40.71540275,-73.99283007,"ENGINE 9, LADDER 6"
40.71540275-73.99283007,1930s,2,40.71540275,-73.99283007,"ENGINE 9, LADDER 6"
40.71540275-73.99283007,1950s,2,40.71540275,-73.99283007,"ENGINE 9, LADDER 6"
40.71540275-73.99283007,1990s,1,40.71540275,-73.99283007,"ENGINE 9, LADDER 6"
40.71652152-73.98391545,1870s,1,40.71652152,-73.98391545,"BATTALION 4, ENGINE 15, LADDER 18"
40.71652152-73.98391545,1880s,1,40.71652152,-73.98391545,"BATTALION 4, ENGINE 15, LADDER 18"
40.71652152-73.98391545,1900s,1,40.71652152,-73.98391545,"BATTALION 4, ENGINE 15, LADDER 18"
40.71652152-73.98391545,1910s,2,40.71652152,-73.98391545,"BATTALION 4, ENGINE 15, LADDER 18"
40.71652152-73.98391545,1920s,2,40.71652152,-73.98391545,"BATTALION 4, ENGINE 15, LADDER 18"
40.71652152-73.98391545,1940s,3,40.71652152,-73.98391545,"BATTALION 4, ENGINE 15, LADDER 18"
40.71652152-73.98391545,1970s,1,40.71652152,-73.98391545,"BATTALION 4, ENGINE 15, LADDER 18"
40.71652152-73.98391545,1990s,1,40.71652152,-73.98391545,"BATTALION 4, ENGINE 15, LADDER 18"
40.71683379-73.7359807,1960s,1,40.71683379,-73.7359807,"ENGINE 304, LADDER 162"
40.71683379-73.7359807,1970s,1,40.71683379,-73.7359807,"ENGINE 304, LADDER 162"
40.71683379-73.7359807,1980s,1,40.71683379,-73.7359807,"ENGINE 304, LADDER 162"
40.71822597-73.83772446,1970s,1,40.71822597,-73.83772446,LADDER 151
40.718613899999994-73.9490098,1900s,1,40.718613899999994,-73.9490098,"ENGINE 229, LADDER 146"
40.718613899999994-73.9490098,1940s,1,40.718613899999994,-73.9490098,"ENGINE 229, LADDER 146"
40.718613899999994-73.9490098,1950s,1,40.718613899999994,-73.9490098,"ENGINE 229, LADDER 146"
40.718613899999994-73.9490098,2000s,1,40.718613899999994,-73.9490098,"ENGINE 229, LADDER 146"
40.71955676-74.00661884,1880s,1,40.71955676,-74.00661884,LADDER 8
40.71955676-74.00661884,1940s,1,40.71955676,-74.00661884,LADDER 8
40.71955676-74.00661884,1950s,1,40.71955676,-74.00661884,LADDER 8
40.71955676-74.00661884,1970s,1,40.71955676,-74.00661884,LADDER 8
40.71983863-73.99575894,1900s,1,40.71983863,-73.99575894,ENGINE 55
40.71983863-73.99575894,1910s,1,40.71983863,-73.99575894,ENGINE 55
40.72005286-73.80773704,1940s,1,40.72005286,-73.80773704,"ENGINE 315, LADDER 125"
40.72005286-73.80773704,1970s,2,40.72005286,-73.80773704,"ENGINE 315, LADDER 125"
40.72185329-73.98252586,1950s,1,40.72185329,-73.98252586,ENGINE 28
40.72294945-73.9965184,1950s,1,40.72294945,-73.9965184,LADDER 20
40.72697848-73.99251397,1900s,2,40.72697848,-73.99251397,"ENGINE 33, LADDER 9"
40.72697848-73.99251397,1920s,2,40.72697848,-73.99251397,"ENGINE 33, LADDER 9"
40.72697848-73.99251397,1930s,2,40.72697848,-73.99251397,"ENGINE 33, LADDER 9"
40.72697848-73.99251397,1940s,1,40.72697848,-73.99251397,"ENGINE 33, LADDER 9"
40.72697848-73.99251397,1950s,1,40.72697848,-73.99251397,"ENGINE 33, LADDER 9"
40.72697848-73.99251397,1960s,1,40.72697848,-73.99251397,"ENGINE 33, LADDER 9"
40.72803263-74.00342907,1870s,1,40.72803263,-74.00342907,"BATTALION 2, ENGINE 24, LADDER 5"
40.72803263-74.00342907,1880s,2,40.72803263,-74.00342907,"BATTALION 2, ENGINE 24, LADDER 5"
40.72803263-74.00342907,1890s,1,40.72803263,-74.00342907,"BATTALION 2, ENGINE 24, LADDER 5"
40.72803263-74.00342907,1910s,1,40.72803263,-74.00342907,"BATTALION 2, ENGINE 24, LADDER 5"
40.72803263-74.00342907,1920s,1,40.72803263,-74.00342907,"BATTALION 2, ENGINE 24, LADDER 5"
40.72803263-74.00342907,1940s,1,40.72803263,-74.00342907,"BATTALION 2, ENGINE 24, LADDER 5"
40.72803263-74.00342907,1950s,1,40.72803263,-74.00342907,"BATTALION 2, ENGINE 24, LADDER 5"
40.72803263-74.00342907,1970s,1,40.72803263,-74.00342907,"BATTALION 2, ENGINE 24, LADDER 5"
40.72803263-74.00342907,1990s,3,40.72803263,-74.00342907,"BATTALION 2, ENGINE 24, LADDER 5"
40.72803263-74.00342907,2000s,2,40.72803263,-74.00342907,"BATTALION 2, ENGINE 24, LADDER 5"
40.73073414-73.95115517,1880s,1,40.73073414,-73.95115517,"ENGINE 238, LADDER 106"
40.73073414-73.95115517,1900s,3,40.73073414,-73.95115517,"ENGINE 238, LADDER 106"
40.73073414-73.95115517,1910s,1,40.73073414,-73.95115517,"ENGINE 238, LADDER 106"
40.73073414-73.95115517,1960s,3,40.73073414,-73.95115517,"ENGINE 238, LADDER 106"
40.73142525-73.98345244,1860s,2,40.73142525,-73.98345244,ENGINE 5
40.73142525-73.98345244,1890s,2,40.73142525,-73.98345244,ENGINE 5
40.73142525-73.98345244,1940s,1,40.73142525,-73.98345244,ENGINE 5
40.73310787-73.98942232,1890s,2,40.73310787,-73.98942232,"BATTALION 6, LADDER 3"
40.73310787-73.98942232,1900s,3,40.73310787,-73.98942232,"BATTALION 6, LADDER 3"
40.73310787-73.98942232,1930s,1,40.73310787,-73.98942232,"BATTALION 6, LADDER 3"
40.73310787-73.98942232,1970s,1,40.73310787,-73.98942232,"BATTALION 6, LADDER 3"
40.73639901-73.93320647,1920s,1,40.73639901,-73.93320647,"BATTALION 45, ENGINE 259, LADDER 128"
40.73639901-73.93320647,1930s,1,40.73639901,-73.93320647,"BATTALION 45, ENGINE 259, LADDER 128"
40.73639901-73.93320647,1950s,1,40.73639901,-73.93320647,"BATTALION 45, ENGINE 259, LADDER 128"
40.73639901-73.93320647,1960s,1,40.73639901,-73.93320647,"BATTALION 45, ENGINE 259, LADDER 128"
40.73639901-73.93320647,1970s,1,40.73639901,-73.93320647,"BATTALION 45, ENGINE 259, LADDER 128"
40.73644697-73.87883475,1940s,1,40.73644697,-73.87883475,LADDER 136
40.73644697-73.87883475,1990s,1,40.73644697,-73.87883475,LADDER 136
40.73794762-73.85196626,1950s,2,40.73794762,-73.85196626,ENGINE 324
40.73795749-73.9909999,1860s,1,40.73795749,-73.9909999,ENGINE 14
40.73795749-73.9909999,1880s,1,40.73795749,-73.9909999,ENGINE 14
40.73795749-73.9909999,1900s,3,40.73795749,-73.9909999,ENGINE 14
40.73795749-73.9909999,1930s,1,40.73795749,-73.9909999,ENGINE 14
40.73795749-73.9909999,1960s,2,40.73795749,-73.9909999,ENGINE 14
40.73817197-73.79334869,1930s,1,40.73817197,-73.79334869,"ENGINE 299, LADDER 152"
40.73817197-73.79334869,1940s,1,40.73817197,-73.79334869,"ENGINE 299, LADDER 152"
40.73817197-73.79334869,1950s,1,40.73817197,-73.79334869,"ENGINE 299, LADDER 152"
40.73817197-73.79334869,1970s,1,40.73817197,-73.79334869,"ENGINE 299, LADDER 152"
40.74066687-73.90100103,1940s,2,40.74066687,-73.90100103,"ENGINE 292, RESCUE 4"
40.74066687-73.90100103,1950s,3,40.74066687,-73.90100103,"ENGINE 292, RESCUE 4"
40.74066687-73.90100103,1990s,2,40.74066687,-73.90100103,"ENGINE 292, RESCUE 4"
40.74066687-73.90100103,2000s,2,40.74066687,-73.90100103,"ENGINE 292, RESCUE 4"
40.74116986-73.99687709,1890s,2,40.74116986,-73.99687709,"BATTALION 7, ENGINE 3, LADDER 12"
40.74116986-73.99687709,1900s,1,40.74116986,-73.99687709,"BATTALION 7, ENGINE 3, LADDER 12"
40.74116986-73.99687709,1960s,2,40.74116986,-73.99687709,"BATTALION 7, ENGINE 3, LADDER 12"
40.74116986-73.99687709,1970s,1,40.74116986,-73.99687709,"BATTALION 7, ENGINE 3, LADDER 12"
40.74169309-73.97888335,1870s,1,40.74169309,-73.97888335,"ENGINE 16, LADDER 7"
40.74169309-73.97888335,1900s,2,40.74169309,-73.97888335,"ENGINE 16, LADDER 7"
40.74169309-73.97888335,1910s,3,40.74169309,-73.97888335,"ENGINE 16, LADDER 7"
40.74169309-73.97888335,1930s,1,40.74169309,-73.97888335,"ENGINE 16, LADDER 7"
40.74169309-73.97888335,1960s,5,40.74169309,-73.97888335,"ENGINE 16, LADDER 7"
40.74169309-73.97888335,1980s,1,40.74169309,-73.97888335,"ENGINE 16, LADDER 7"
40.74447666-73.71608407,1920s,6,40.74447666,-73.71608407,ENGINE 251
40.74447666-73.71608407,1950s,1,40.74447666,-73.71608407,ENGINE 251
40.74498905-73.95171207,1920s,1,40.74498905,-73.95171207,"ENGINE 258, LADDER 115"
40.74498905-73.95171207,1930s,1,40.74498905,-73.95171207,"ENGINE 258, LADDER 115"
40.74498905-73.95171207,1950s,1,40.74498905,-73.95171207,"ENGINE 258, LADDER 115"
40.74498905-73.95171207,1960s,1,40.74498905,-73.95171207,"ENGINE 258, LADDER 115"
40.74498905-73.95171207,1970s,1,40.74498905,-73.95171207,"ENGINE 258, LADDER 115"
40.74528419-73.91380625,1930s,2,40.74528419,-73.91380625,"ENGINE 325, LADDER 163"
40.74528419-73.91380625,1960s,3,40.74528419,-73.91380625,"ENGINE 325, LADDER 163"
40.74528419-73.91380625,2000s,1,40.74528419,-73.91380625,"ENGINE 325, LADDER 163"
40.74621108-73.86528537,1910s,1,40.74621108,-73.86528537,ENGINE 289
40.74621108-73.86528537,1920s,1,40.74621108,-73.86528537,ENGINE 289
40.74621108-73.86528537,1960s,1,40.74621108,-73.86528537,ENGINE 289
40.74701749-73.75601727,1990s,1,40.74701749,-73.75601727,LADDER 160
40.74849695-73.9911243,1860s,1,40.74849695,-73.9911243,"ENGINE 1, LADDER 24"
40.74849695-73.9911243,1900s,2,40.74849695,-73.9911243,"ENGINE 1, LADDER 24"
40.74849695-73.9911243,1930s,1,40.74849695,-73.9911243,"ENGINE 1, LADDER 24"
40.74849695-73.9911243,1940s,1,40.74849695,-73.9911243,"ENGINE 1, LADDER 24"
40.74849695-73.9911243,1960s,2,40.74849695,-73.9911243,"ENGINE 1, LADDER 24"
40.74849695-73.9911243,1970s,1,40.74849695,-73.9911243,"ENGINE 1, LADDER 24"
40.74866417-73.97400415,1900s,2,40.74866417,-73.97400415,ENGINE 21
40.74866417-73.97400415,1910s,1,40.74866417,-73.97400415,ENGINE 21
40.75313272-73.99034944,1900s,2,40.75313272,-73.99034944,ENGINE 26
40.75313272-73.99034944,1910s,2,40.75313272,-73.99034944,ENGINE 26
40.75313272-73.99034944,1920s,3,40.75313272,-73.99034944,ENGINE 26
40.75501878-73.981931,1910s,2,40.75501878,-73.981931,ENGINE 65
40.75501878-73.981931,1930s,3,40.75501878,-73.981931,ENGINE 65
40.75537969-73.93325274,1930s,1,40.75537969,-73.93325274,LADDER 116
40.75537969-73.93325274,1950s,1,40.75537969,-73.93325274,LADDER 116
40.75580422-73.88561545,1930s,1,40.75580422,-73.88561545,ENGINE 307
40.75653741-73.99650565,1890s,2,40.75653741,-73.99650565,"ENGINE 34, LADDER 21"
40.75653741-73.99650565,1920s,2,40.75653741,-73.99650565,"ENGINE 34, LADDER 21"
40.75653741-73.99650565,1930s,1,40.75653741,-73.99650565,"ENGINE 34, LADDER 21"
40.75690597-73.97054357,1860s,1,40.75690597,-73.97054357,"BATTALION 8, ENGINE 8, LADDER 2"
40.75690597-73.97054357,1870s,1,40.75690597,-73.97054357,"BATTALION 8, ENGINE 8, LADDER 2"
40.75690597-73.97054357,1880s,1,40.75690597,-73.97054357,"BATTALION 8, ENGINE 8, LADDER 2"
40.75690597-73.97054357,1900s,2,40.75690597,-73.97054357,"BATTALION 8, ENGINE 8, LADDER 2"
40.75690597-73.97054357,1910s,2,40.75690597,-73.97054357,"BATTALION 8, ENGINE 8, LADDER 2"
40.75690597-73.97054357,1920s,1,40.75690597,-73.97054357,"BATTALION 8, ENGINE 8, LADDER 2"
40.75690597-73.97054357,1930s,1,40.75690597,-73.97054357,"BATTALION 8, ENGINE 8, LADDER 2"
40.75690597-73.97054357,1950s,2,40.75690597,-73.97054357,"BATTALION 8, ENGINE 8, LADDER 2"
40.75972134-73.94001486,1900s,1,40.75972134,-73.94001486,ENGINE 260
40.75986256-73.82653934,1930s,1,40.75986256,-73.82653934,LADDER 129
40.75986256-73.82653934,1950s,1,40.75986256,-73.82653934,LADDER 129
40.76071002-73.99659328,1920s,1,40.76071002,-73.99659328,RESCUE 1
40.76071002-73.99659328,1960s,1,40.76071002,-73.99659328,RESCUE 1
40.76071002-73.99659328,1970s,1,40.76071002,-73.99659328,RESCUE 1
40.76075773-73.98682241,1870s,2,40.76075773,-73.98682241,"BATTALION 9, ENGINE 54, LADDER 4"
40.76075773-73.98682241,1880s,2,40.76075773,-73.98682241,"BATTALION 9, ENGINE 54, LADDER 4"
40.76075773-73.98682241,1900s,1,40.76075773,-73.98682241,"BATTALION 9, ENGINE 54, LADDER 4"
40.76075773-73.98682241,1910s,1,40.76075773,-73.98682241,"BATTALION 9, ENGINE 54, LADDER 4"
40.76075773-73.98682241,1970s,2,40.76075773,-73.98682241,"BATTALION 9, ENGINE 54, LADDER 4"
40.76249757-73.81278289,1920s,1,40.76249757,-73.81278289,"BATTALION 52, ENGINE 274"
40.76249757-73.81278289,1950s,1,40.76249757,-73.81278289,"BATTALION 52, ENGINE 274"
40.7633041-73.78699372,1950s,1,40.7633041,-73.78699372,LADDER 167
40.76391257-73.76975156,1920s,1,40.76391257,-73.76975156,ENGINE 306
40.76391257-73.76975156,1950s,1,40.76391257,-73.76975156,ENGINE 306
40.76677071-73.98030868,1870s,2,40.76677071,-73.98030868,ENGINE 23
40.76677071-73.98030868,1880s,1,40.76677071,-73.98030868,ENGINE 23
40.76677071-73.98030868,1900s,1,40.76677071,-73.98030868,ENGINE 23
40.76677071-73.98030868,1960s,1,40.76677071,-73.98030868,ENGINE 23
40.76680077-73.74219532,1950s,1,40.76680077,-73.74219532,"ENGINE 313, LADDER 164"
40.76680077-73.74219532,1960s,1,40.76680077,-73.74219532,"ENGINE 313, LADDER 164"
40.76680077-73.74219532,1970s,1,40.76680077,-73.74219532,"ENGINE 313, LADDER 164"
40.7671897-73.96362574,1930s,4,40.7671897,-73.96362574,"ENGINE 39, LADDER 16"
40.7671897-73.96362574,1940s,1,40.7671897,-73.96362574,"ENGINE 39, LADDER 16"
40.7671897-73.96362574,1960s,1,40.7671897,-73.96362574,"ENGINE 39, LADDER 16"
40.7671897-73.96362574,1990s,1,40.7671897,-73.96362574,"ENGINE 39, LADDER 16"
40.76754963-73.92924835,1900s,1,40.76754963,-73.92924835,ENGINE 262
40.76754963-73.92924835,1990s,1,40.76754963,-73.92924835,ENGINE 262
40.768263-73.908801,1940s,1,40.768263,-73.908801,ENGINE 263
40.77150264-73.95811608,1910s,2,40.77150264,-73.95811608,ENGINE 44
40.77150264-73.95811608,1920s,1,40.77150264,-73.95811608,ENGINE 44
40.77338291-73.9103197,1960s,2,40.77338291,-73.9103197,"BATTALION 49, ENGINE 312"
40.77338291-73.9103197,1970s,1,40.77338291,-73.9103197,"BATTALION 49, ENGINE 312"
40.77423067-73.98427514,1910s,1,40.77423067,-73.98427514,"ENGINE 40, LADDER 35"
40.77423067-73.98427514,1920s,1,40.77423067,-73.98427514,"ENGINE 40, LADDER 35"
40.77423067-73.98427514,1930s,2,40.77423067,-73.98427514,"ENGINE 40, LADDER 35"
40.77423067-73.98427514,1940s,1,40.77423067,-73.98427514,"ENGINE 40, LADDER 35"
40.77423067-73.98427514,1970s,1,40.77423067,-73.98427514,"ENGINE 40, LADDER 35"
40.77869816-73.95522787,1880s,1,40.77869816,-73.95522787,LADDER 13
40.78228507-73.97978054,1930s,1,40.78228507,-73.97978054,DIVISION 3
40.78228507-73.97978054,1960s,2,40.78228507,-73.97978054,DIVISION 3
40.78228507-73.97978054,1980s,1,40.78228507,-73.97978054,DIVISION 3
40.78499803-73.84807237,1950s,1,40.78499803,-73.84807237,"ENGINE 297, LADDER 130"
40.78499803-73.84807237,1980s,1,40.78499803,-73.84807237,"ENGINE 297, LADDER 130"
40.78894048-73.81601355,1940s,2,40.78894048,-73.81601355,LADDER 144
40.78903828-73.94722388,1930s,1,40.78903828,-73.94722388,"ENGINE 53, LADDER 43"
40.78903828-73.94722388,1950s,1,40.78903828,-73.94722388,"ENGINE 53, LADDER 43"
40.78903828-73.94722388,1960s,1,40.78903828,-73.94722388,"ENGINE 53, LADDER 43"
40.78903828-73.94722388,1970s,1,40.78903828,-73.94722388,"ENGINE 53, LADDER 43"
40.79383446-73.94073212,1950s,1,40.79383446,-73.94073212,ENGINE 91
40.79383446-73.94073212,1960s,1,40.79383446,-73.94073212,ENGINE 91
40.79650141-73.96719303,1890s,1,40.79650141,-73.96719303,"BATTALION 11, ENGINE 76, LADDER 22"
40.79650141-73.96719303,1900s,1,40.79650141,-73.96719303,"BATTALION 11, ENGINE 76, LADDER 22"
40.79650141-73.96719303,1910s,3,40.79650141,-73.96719303,"BATTALION 11, ENGINE 76, LADDER 22"
40.79650141-73.96719303,1950s,1,40.79650141,-73.96719303,"BATTALION 11, ENGINE 76, LADDER 22"
40.79650141-73.96719303,1970s,1,40.79650141,-73.96719303,"BATTALION 11, ENGINE 76, LADDER 22"
40.79650141-73.96719303,1980s,1,40.79650141,-73.96719303,"BATTALION 11, ENGINE 76, LADDER 22"
40.798736700000006-73.94684878,1910s,1,40.798736700000006,-73.94684878,"ENGINE 58, LADDER 26"
40.798736700000006-73.94684878,1920s,1,40.798736700000006,-73.94684878,"ENGINE 58, LADDER 26"
40.798736700000006-73.94684878,1940s,2,40.798736700000006,-73.94684878,"ENGINE 58, LADDER 26"
40.798736700000006-73.94684878,1950s,2,40.798736700000006,-73.94684878,"ENGINE 58, LADDER 26"
40.80330396-73.93652275,1890s,1,40.80330396,-73.93652275,"BATTALION 12, ENGINE 35, LADDER 14"
40.80330396-73.93652275,1930s,3,40.80330396,-73.93652275,"BATTALION 12, ENGINE 35, LADDER 14"
40.80330396-73.93652275,1950s,1,40.80330396,-73.93652275,"BATTALION 12, ENGINE 35, LADDER 14"
40.80330396-73.93652275,1960s,2,40.80330396,-73.93652275,"BATTALION 12, ENGINE 35, LADDER 14"
40.80330396-73.93652275,1980s,1,40.80330396,-73.93652275,"BATTALION 12, ENGINE 35, LADDER 14"
40.80492119-73.96310645,1890s,1,40.80492119,-73.96310645,ENGINE 47
40.80492119-73.96310645,1980s,1,40.80492119,-73.96310645,ENGINE 47
40.80583704-73.91583502,1900s,1,40.80583704,-73.91583502,"ENGINE 83, LADDER 29"
40.80583704-73.91583502,1910s,1,40.80583704,-73.91583502,"ENGINE 83, LADDER 29"
40.81196716-73.95460693,1920s,1,40.81196716,-73.95460693,"ENGINE 37, LADDER 40"
40.81196716-73.95460693,1930s,1,40.81196716,-73.95460693,"ENGINE 37, LADDER 40"
40.81196716-73.95460693,1940s,1,40.81196716,-73.95460693,"ENGINE 37, LADDER 40"
